Time,Longitude,Latitude,Speed,LatAcceleration,LongAcceleration,ZAcceleration,YawRate,SteerTorque,SteerRate,SteerAngle,SteerFraction,FLWheelSpeed,FRWheelSpeed,RRWheelSpeed,RLWheelSpeed
1614455407.829123,-110.84463500976562,32.30624008178711,23.179039889859062,-88.61109722271824,-1.1630120528362706,29.98794716372937,-20.880554861135913,-35.56665833363094,-80.0,-139.51738427329693,-0.5918873391280911,24.157982899043457,21.96235328444929,21.841680917463783,23.957310532057946
1614455407.932257,-110.84464263916016,32.306236267089844,22.771128497546744,-88.99999999999999,-1.1691634254838486,23.83657451615157,-21.665670369752306,-38.33731852099077,-66.58996476734298,-147.51150528489856,-0.09309682906086744,23.848476687221236,21.545110531575226,21.39282556240708,23.548476687221232
1614455408.02823,-110.84464263916016,32.306236267089844,22.391794047801895,-93.03351915036765,-1.1099076326825035,83.0923673174966,-22.370810106204043,-38.51675957518382,-60.0,-154.38453056879246,0.43071834127547404,23.40956591677351,21.177395500641104,21.018697750320545,23.24891479193379
1614455408.135274,-110.84465026855469,32.306236267089844,21.95438560981193,-91.99999999999999,-1.0729398344754368,120.06016552456327,-22.999999999999996,-40.0,-56.54920702855649,-159.98238105428348,-0.11057136742991656,23.027362966872165,20.65910475687864,20.34084654688512,22.81616930937702
1614455408.22727,-110.84465789794922,32.306236267089844,21.551311952007385,-90.36767066829607,-1.1438205122036302,49.17948779636959,-23.25,-37.63232933170393,-43.86592699246209,-164.69293639366475,0.27482002202083505,22.239999999999995,20.29204584540722,19.806137536221637,22.483068768110826
1614455408.330451,-110.84466552734375,32.306236267089844,21.080441983583466,-74.75707020517916,-1.3600086479214963,88.06762194169859,-23.646422517098262,-41.82861986321389,-21.0,-168.0,0.6696085000478608,22.369723312589752,19.738287218764956,19.36115940641455,21.846297750119675
1614455408.435467,-110.84467315673828,32.306236267089844,20.71955918286345,-79.16253655533323,-1.1358140503737564,134.93179545779176,-23.54063413883331,-31.812682776666154,-36.212016034415335,-170.46360481032463,0.10664352757137266,21.366124924478314,19.53102082074639,19.4750148719617,21.487026769531063
1614455408.536598,-110.84468078613281,32.306236267089844,20.6581196819471,-50.999725857588984,-0.8707185232011085,67.2814767988913,-23.02272104221793,-34.36408496030895,-33.083590167631364,-172.5,-0.21482622967250498,20.901330996566866,19.260000000000005,18.822121335798144,21.316460999207735
1614455408.630644,-110.84468841552734,32.306236267089844,20.12266015052958,-70.1765,-1.1541991489069632,38.80085109303682,-23.0,-38.25483333333334,-30.267650694393954,-175.50000000000003,0.06338253471969753,21.429993324432573,18.989999999999995,18.784442960985018,21.017785195074918
1614455408.732588,-110.84468841552734,32.306236267089844,19.878589951377634,-60.64325512140061,-0.5869055302866218,96.0944697133781,-23.75,-32.38968274934557,-9.0,-176.99999999999997,0.5648267535916939,20.879999999999995,18.686635652196077,18.39884753626144,20.536105942032684
